Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,5/27/2016 4:04:13 PM,5/27/2016 4:32:13 PM,:00:28:00
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,5/25/2016 5:55:37 PM,5/25/2016 10:17:05 PM,:04:21:28
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,5/13/2016 9:52:33 PM,5/14/2016 1:32:57 AM,:03:40:24
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,5/12/2016 2:43:01 AM,5/12/2016 7:31:21 AM,:04:48:20
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,5/10/2016 2:31:13 AM,5/10/2016 2:46:13 AM,:00:15:00
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,5/1/2016 9:46:09 PM,5/1/2016 10:10:25 PM,:00:24:16
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,4/28/2016 3:45:49 AM,4/28/2016 4:48:49 AM,:01:03:00
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,4/28/2016 1:06:01 AM,4/28/2016 2:44:33 AM,:01:38:32
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,8/27/2016 7:54:00 AM,8/27/2016 12:52:00 PM,:04:58:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,8/20/2016 9:30:00 AM,8/20/2016 8:25:00 PM,:10:55:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,8/12/2016 6:35:00 PM,8/13/2016 10:40:00 AM,:16:05:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,7/24/2016 8:20:00 PM,7/25/2016 7:25:00 AM,:11:05:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,7/23/2016 8:24:00 PM,7/24/2016 5:20:00 PM,:20:56:00
