Field_Note,Outfall_Vi,Monitor,Adj_Basin_,Runoff_Fac,Graffiti,DWM_cfs_ac,percent_ac,DWM_cfs,Location,ATLAS,Receiving,percent_ro,Insp_Date,Pipe_Size,Saturation,Elevation,Users,MWRD_cfs_a,Outfall_Ph,TG,Basin_Ac,Structural,STATUS,Shaft,Easting,MWRD,Comment,Bank_Erosi,users_acre,Bag,Connection,River_Bank,FID,on_CAWS,GPS,Control,MWRD_cfs,311_Street,NAME,Obstructio,Outfall_St,rock_acres,Pipe_Mater,Weather,Outfall_Si,CDM_cfs_ac,Owner,sand_acres,311_Add,Northing
067.pdf,067.mpg,MWRD,445.89485247,0.775199673974,NO,0.779738588106,0.940757997218,347.681422708,Leavitt St.,40-1-26,North Branch Chicago River,0,-1499235328,12 X 12,Invert wet,-7.38,2,1.73583524392,067.jpg,1,575.2,FAIR,Active,DS-80,1161150.871,MS-80, ,YES,0.00347705146036, ,Direct,E,1270,1,YES, ,774,N LEAVITT ST,067,NO,Battery,0,Cement,CLOUDY,2(12x7),0.779738588106,DWM,541.124,2882,1919147.866
068.pdf,N/A,MWRD,223.173889873,0.989873412107,NO,0.805922551918,0,179.860870848,Diversey Ave.,40-1-25,North Branch Chicago River,0,-1499235328,7.5,Dry,-0.98,2,1.00370164327,068.jpg,1,225.457,FAIR,Active,DS-79,1161161.98,MS-79,"NO GPS, not accessible",YES,0.0088708711639, ,Direct,W,1271,1,NO, ,224,W DIVERSEY PKWY,068,NO,Bridge,0,N/A,SUNNY,6,0.805922551918,DWM,0,2202,1918564.18
069.pdf,N/A,NO,270.682589975,1.05282998824,NO,0.350909158985,0.331415791521,94.985,Diversey Ave.,40-1-25,North Branch Chicago River,0,-1412835328,5.5,Dry,-4.38,0,0.254911111964,069.jpg,0,257.1,FAIR,Active,DS-78,1161741.6,MS-80, ,YES,0,Net,Direct,E,1272,1,YES, ,69,W DIVERSEY PKWY,069,NO,Battery,0,N/A,SUNNY,N/A,0.350909158985,DWM,85.207,2115,1918437.93
070.pdf,070.mpg,MWRD,1009.38,0.3,NO,0.636861151094,0.0286467930809,642.834908691,Logan Blvd.,40-1-25,North Branch Chicago River,0.0157519467396,-1499235328,2(14 X 8,Invert wet,-6.48,6,0.911450593434,070.jpg,2,3364.6,FAIR,Active,DS-79,1161233.307,MS-79, ,NO,0.0017832729002, ,Direct,W,1273,1,YES, ,920,W DIVERSEY PKWY,070,NO,Battery,52.999,Cement,CLOUDY,8(8.5x8.5),0.636861151094,DWM,96.385,2201,1918381.345
072.pdf,072.mpg,NO,12.4155,1.59602776707,NO,0.25,0,3.1,Damen Ave,40-1-22,North Branch Chicago River,0,-1412835328,1,Dry,0.12,0,0.322177922758,072.jpg,0,7.779,FAIR,Active,DS-77,1162596.84,MS-76, ,NO,0, ,Direct,S,1274,1,YES, ,4,N DAMEN AVE,072,YES,Open pipe,0,Metal,SUNNY,1,0.171413604189,DWM,0,2517,1916971.28
073.pdf,073.mpg,MWRD,274.563966651,1.0333491404,NO,0.211830164466,0,58.1609302121,Fullerton Ave.,40-1-22,North Branch Chicago River,0,-1412835328,6,Dry,-0.58,1,0.265876112188,073.jpg,1,265.703,EXCELLENT,Active,DS-76,1163459.3979,MS-76, ,NO,0.00376360071207, ,Direct,W,1275,1,YES, ,73,W FULLERTON AVE,073,NO,Bridge,0,Brick,SUNNY,6,0.211830164466,DWM,0,1861,1915956.8635
074.pdf,074.mpg,MWRD,0,0,NO,0,0,0,Fullerton Ave.,40-1-22, ,0,401564672, ,Invert wet,-5.18,0,0,074.jpg,2,0,EXCELLENT,Active, ,1163639.0481, , ,NO,0, , ,E,1276,1,YES, ,0, ,074,NO,Battery,0,Concrete,SUNNY,14x10.5,0,DWM,0,0,1915897.4342
075.pdf,075.mpg,NO,174.152552297,1.04033782734,NO,0.0504572001278,0,8.78725018403,Ashland Ave.,40-1-23,North Branch Chicago River,0,-1412835328,2,Dry,0.02,0,0.0459367370416,075.jpg,0,167.4,FAIR,Active,I-75A,1165234.6915,MS-73, ,NO,0, ,Interceptor,E,1277,1,YES, ,8,N ASHLAND AVE,075,NO,Bridge,0,Metal,SUNNY,2,0.0504572001278,DWM,0,2227,1914999.4186
076.pdf,N/A,NO,568.976136386,0.718192926053,NO,0.0537113690257,0.980461556133,30.5604872282,Webster Ave.,40-1-23,North Branch Chicago River,0,-1412835328,4,Invert wet,-3.38,3,0.0615140034208,076.jpg,0,792.233,N/A,Active,I-75,1165445.6371,MS-73, ,N/A,0.00378676475229,Net,Interceptor,E,1278,1,YES, ,35,W WEBSTER AVE,076,NO,Bridge,0,Cement,SUNNY,4x4,0.0537113690257,DWM,776.754,1529,1914681.7852
077.pdf,N/A,MWRD,699.94409871,0.663144863922,NO,0.300047704067,0,210.016619793,McLean Ave,40-1-19,North Branch Chicago River,0,-1326435328,9,Invert wet,-3.88,3,0.357171380487,077.jpg,1,1055.492,N/A,Active,DS-73,1165938.84,MS-73, ,N/A,0.00284227639812, ,Direct,W,1279,1,YES, ,250,N MENDELL ST,077,NO,Battery,0,Cement,SUNNY,10x10.5,0.300047704067,DWM,0,2009,1913670.15
