DS-M08,2007-07-18 22:33:00 -0500,2007-07-18 23:59:00 -0500
,41.804722,-87.788611
DS-M15,2007-07-18 22:32:00 -0500,2007-07-18 23:59:00 -0500
,41.981944,-87.743333
DS-M20,2007-07-18 22:36:00 -0500,2007-07-18 23:07:00 -0500
,41.836667,-87.690278
DS-M30,2007-07-18 21:19:00 -0500,2007-07-18 21:31:00 -0500
,41.830278,-87.657778
DS-M40,2007-07-18 21:23:00 -0500,2007-07-18 21:52:00 -0500
,41.851111,-87.640833
DS-M54,2007-07-18 09:56:00 -0500,2007-07-18 09:58:00 -0500
,41.886944,-87.635556
DS-M66,2007-07-18 21:20:00 -0500,2007-07-18 21:45:00 -0500
,41.907222,-87.658889
DS-M73,2007-07-18 22:34:00 -0500,2007-07-18 23:13:00 -0500
,41.918333,-87.663611
DS-M84,2007-07-18 21:11:00 -0500,2007-07-18 21:13:00 -0500
,41.942778,-87.695556
DS-M84,2007-07-18 22:33:00 -0500,2007-07-18 23:59:00 -0500
,41.942778,-87.695556
DS-M88,2007-07-18 22:40:00 -0500,2007-07-18 23:59:00 -0500
,41.9575,-87.694722
DS-N02,2007-07-18 22:34:00 -0500,2007-07-18 23:59:00 -0500
,41.975278,-87.724167
DS-N05,2007-07-18 22:35:00 -0500,2007-07-18 23:59:00 -0500
,41.983333,-87.750833
DS-N07,2007-07-18 19:44:00 -0500,2007-07-18 20:48:00 -0500
,41.988333,-87.7625
DS-N08,2007-07-18 22:36:00 -0500,2007-07-18 23:59:00 -0500
,41.989722,-87.765
DS-N10B,2007-07-18 23:17:00 -0500,2007-07-18 23:20:00 -0500
,42.000278,-87.783889
DS-N10B,2007-07-18 23:51:00 -0500,2007-07-18 23:59:00 -0500
,42.000278,-87.783889
DS-N05,2007-07-19 00:00:00 -0500,2007-07-19 04:48:00 -0500
,41.983333,-87.750833
DS-M15,2007-07-19 00:00:00 -0500,2007-07-19 07:19:00 -0500
,41.981944,-87.743333
DS-M40,2007-07-19 00:23:00 -0500,2007-07-19 01:55:00 -0500
,41.851111,-87.640833
DS-M73,2007-07-19 00:23:00 -0500,2007-07-19 00:41:00 -0500
,41.918333,-87.663611
DS-M73,2007-07-19 00:49:00 -0500,2007-07-19 01:00:00 -0500
,41.918333,-87.663611
DS-M73,2007-07-19 01:08:00 -0500,2007-07-19 01:26:00 -0500
,41.918333,-87.663611
DS-N02,2007-07-19 00:00:00 -0500,2007-07-19 06:23:00 -0500
,41.975278,-87.724167
DS-N08,2007-07-19 00:00:00 -0500,2007-07-19 03:16:00 -0500
,41.989722,-87.765
DS-N10B,2007-07-19 00:00:00 -0500,2007-07-19 01:37:00 -0500
,42.000278,-87.783889
DS-M76,2007-07-19 00:17:00 -0500,2007-07-19 00:54:00 -0500
,41.925556,-87.674444
DS-M80,2007-07-19 00:42:00 -0500,2007-07-19 02:38:00 -0500
,41.933889,-87.685278
DS-M84,2007-07-19 00:00:00 -0500,2007-07-19 03:03:00 -0500
,41.942778,-87.695556
DS-M88,2007-07-19 00:00:00 -0500,2007-07-19 02:23:00 -0500
,41.9575,-87.694722
DS-M88,2007-07-19 02:24:00 -0500,2007-07-19 02:28:00 -0500
,41.9575,-87.694722
DS-M08,2007-07-19 00:00:00 -0500,2007-07-19 03:28:00 -0500
,41.804722,-87.788611
CDS-16,2007-07-26 04:35:00 -0500,2007-07-26 04:52:00 -0500
,nan,nan
CDS-10,2007-07-26 08:10:00 -0500,2007-07-26 08:19:00 -0500
,41.655833,-87.658056
DS-M15,2007-07-26 05:51:00 -0500,2007-07-26 07:41:00 -0500
,41.981944,-87.743333
DS-M19,2007-07-26 06:15:00 -0500,2007-07-26 06:53:00 -0500
,41.833611,-87.695278
DS-M30,2007-07-26 04:08:00 -0500,2007-07-26 04:37:00 -0500
,41.830278,-87.657778
DS-M40,2007-07-26 05:56:00 -0500,2007-07-26 07:43:00 -0500
,41.851111,-87.640833
DS-M41,2007-07-26 05:50:00 -0500,2007-07-26 07:42:00 -0500
,41.854167,-87.638611
DS-N02,2007-07-26 05:54:00 -0500,2007-07-26 07:19:00 -0500
,41.975278,-87.724167
DS-N05,2007-07-26 05:56:00 -0500,2007-07-26 07:24:00 -0500
,41.983333,-87.750833
DS-N08,2007-07-26 06:00:00 -0500,2007-07-26 06:26:00 -0500
,41.989722,-87.765
DS-M88,2007-07-27 05:06:00 -0500,2007-07-27 05:46:00 -0500
,41.9575,-87.694722
DS-N02,2007-07-27 04:32:00 -0500,2007-07-27 07:54:00 -0500
,41.975278,-87.724167
DS-N05,2007-07-27 05:27:00 -0500,2007-07-27 07:55:00 -0500
,41.983333,-87.750833
DS-D11,2007-08-05 08:31:00 -0500,2007-08-06 09:28:00 -0500
,41.937222,-87.849167
DS-M08,2007-08-05 08:08:00 -0500,2007-08-05 10:38:00 -0500
,41.804722,-87.788611
DS-M49,2007-08-05 08:09:00 -0500,2007-08-05 08:21:00 -0500
,41.867222,-87.634722
DS-M70,2007-08-05 08:08:00 -0500,2007-08-05 08:26:00 -0500
,41.910833,-87.656667
DS-M75,2007-08-05 08:26:00 -0500,2007-08-05 09:30:00 -0500
,41.925556,-87.673611
DS-M75,2007-08-05 08:25:00 -0500,2007-08-05 09:41:00 -0500
,41.925556,-87.673611
DS-M80,2007-08-05 08:08:00 -0500,2007-08-05 10:39:00 -0500
,41.933889,-87.685278
DS-M76,2007-08-05 08:32:00 -0500,2007-08-05 08:47:00 -0500
,41.925556,-87.674444
DS-M80,2007-08-05 08:08:00 -0500,2007-08-05 10:39:00 -0500
,41.933889,-87.685278
DS-M84,2007-08-05 08:07:00 -0500,2007-08-05 10:28:00 -0500
,41.942778,-87.695556
DS-M84,2007-08-05 08:07:00 -0500,2007-08-05 10:28:00 -0500
,41.942778,-87.695556
DS-M84,2007-08-05 08:07:00 -0500,2007-08-05 10:36:00 -0500
,41.942778,-87.695556
DS-M84,2007-08-05 08:07:00 -0500,2007-08-05 10:26:00 -0500
,41.942778,-87.695556
DS-M86,2007-08-05 08:26:00 -0500,2007-08-05 08:38:00 -0500
,42.011944,-87.71
DS-N02,2007-08-05 08:07:00 -0500,2007-08-05 10:40:00 -0500
,41.975278,-87.724167
DS-N02,2007-08-05 11:55:00 -0500,2007-08-05 13:26:00 -0500
,41.975278,-87.724167
DS-M88,2007-08-05 08:07:00 -0500,2007-08-05 10:37:00 -0500
,41.9575,-87.694722
DS-N05,2007-08-05 08:08:00 -0500,2007-08-05 10:42:00 -0500
,41.983333,-87.750833
DS-N05,2007-08-05 12:11:00 -0500,2007-08-05 13:26:00 -0500
,41.983333,-87.750833
DS-N08,2007-08-05 08:07:00 -0500,2007-08-05 10:39:00 -0500
,41.989722,-87.765
DS-N10A,2007-08-05 08:08:00 -0500,2007-08-05 10:37:00 -0500
,42.003056,-87.780278
DS-N10B,2007-08-05 08:08:00 -0500,2007-08-05 10:00:00 -0500
,42.000278,-87.783889
DS-N13R,2007-08-05 08:24:00 -0500,2007-08-05 09:07:00 -0500
,nan,nan
DS-D11,2007-08-07 04:15:00 -0500,2007-08-07 06:26:00 -0500
,41.937222,-87.849167
DS-M15,2007-08-07 04:28:00 -0500,2007-08-07 09:45:00 -0500
,41.981944,-87.743333
DS-M15,2007-08-07 10:06:00 -0500,2007-08-07 10:08:00 -0500
,41.981944,-87.743333
DS-M20,2007-08-07 04:48:00 -0500,2007-08-07 05:35:00 -0500
,41.836667,-87.690278
DS-M49,2007-08-07 04:21:00 -0500,2007-08-07 04:44:00 -0500
,41.867222,-87.634722
DS-M70,2007-08-07 04:14:00 -0500,2007-08-07 05:03:00 -0500
,41.910833,-87.656667
DS-M76,2007-08-07 04:19:00 -0500,2007-08-07 04:34:00 -0500
,41.925556,-87.674444
DS-M80,2007-08-07 04:28:00 -0500,2007-08-07 05:30:00 -0500
,41.933889,-87.685278
DS-M80,2007-08-07 05:38:00 -0500,2007-08-07 09:42:00 -0500
,41.933889,-87.685278
DS-M84,2007-08-07 04:12:00 -0500,2007-08-07 07:06:00 -0500
,41.942778,-87.695556
DS-M84,2007-08-07 07:07:00 -0500,2007-08-07 07:52:00 -0500
,41.942778,-87.695556
DS-M86,2007-08-07 04:11:00 -0500,2007-08-07 05:18:00 -0500
,42.011944,-87.71
DS-M88,2007-08-07 04:05:00 -0500,2007-08-07 07:08:00 -0500
,41.9575,-87.694722
DS-M88,2007-08-07 07:45:00 -0500,2007-08-07 08:19:00 -0500
,41.9575,-87.694722
DS-M88,2007-08-07 08:22:00 -0500,2007-08-07 08:25:00 -0500
,41.9575,-87.694722
DS-M97,2007-08-07 03:57:00 -0500,2007-08-07 05:09:00 -0500
,42.004444,-87.710333
DS-N02,2007-08-07 04:03:00 -0500,2007-08-07 09:48:00 -0500
,41.975278,-87.724167
DS-N02,2007-08-07 10:13:00 -0500,2007-08-07 10:17:00 -0500
,41.975278,-87.724167
DS-N02,2007-08-07 12:02:00 -0500,2007-08-07 12:18:00 -0500
,41.975278,-87.724167
DS-N02,2007-08-07 12:34:00 -0500,2007-08-07 12:36:00 -0500
,41.975278,-87.724167
DS-N02,2007-08-07 13:18:00 -0500,2007-08-07 13:24:00 -0500
,41.975278,-87.724167
DS-N02,2007-08-07 14:31:00 -0500,2007-08-07 15:25:00 -0500
,41.975278,-87.724167
DS-N02,2007-08-07 15:45:00 -0500,2007-08-07 18:30:00 -0500
,41.975278,-87.724167
DS-N02,2007-08-07 19:19:00 -0500,2007-08-07 20:48:00 -0500
,41.975278,-87.724167
DS-N04,2007-08-07 04:05:00 -0500,2007-08-07 07:25:00 -0500
,41.974167,-87.707222
DS-N05,2007-08-07 04:02:00 -0500,2007-08-07 09:50:00 -0500
,41.983333,-87.750833
DS-N05,2007-08-07 10:30:00 -0500,2007-08-07 10:34:00 -0500
,41.983333,-87.750833
DS-N05,2007-08-07 12:24:00 -0500,2007-08-07 12:33:00 -0500
,41.983333,-87.750833
DS-N05,2007-08-07 13:44:00 -0500,2007-08-07 13:48:00 -0500
,41.983333,-87.750833
DS-N05,2007-08-07 16:31:00 -0500,2007-08-07 17:47:00 -0500
,41.983333,-87.750833
DS-N07,2007-08-07 04:06:00 -0500,2007-08-07 04:52:00 -0500
,41.988333,-87.7625
DS-N08,2007-08-07 03:47:00 -0500,2007-08-07 03:49:00 -0500
,41.989722,-87.765
DS-N08,2007-08-07 04:05:00 -0500,2007-08-07 09:51:00 -0500
,41.989722,-87.765
DS-N08,2007-08-07 11:29:00 -0500,2007-08-07 12:18:00 -0500
,41.989722,-87.765
DS-N10A,2007-08-07 03:49:00 -0500,2007-08-07 03:53:00 -0500
,42.003056,-87.780278
DS-N10A,2007-08-07 04:03:00 -0500,2007-08-07 06:23:00 -0500
,42.003056,-87.780278
DS-N10B,2007-08-07 03:46:00 -0500,2007-08-07 03:48:00 -0500
,42.000278,-87.783889
DS-N10B,2007-08-07 04:01:00 -0500,2007-08-07 08:37:00 -0500
,42.000278,-87.783889
DS-N13R,2007-08-07 03:38:00 -0500,2007-08-07 03:43:00 -0500
,nan,nan
DS-N13R,2007-08-07 04:02:00 -0500,2007-08-07 05:01:00 -0500
,nan,nan
TG-M94,2007-08-07 04:12:00 -0500,2007-08-07 04:31:00 -0500
,41.986389,-87.707778
DS-M30,2007-08-08 16:56:00 -0500,2007-08-08 17:50:00 -0500
,41.830278,-87.657778
DS-M84,2007-08-08 16:50:00 -0500,2007-08-08 17:15:00 -0500
,41.942778,-87.695556
DS-M08,2007-08-09 03:46:00 -0500,2007-08-09 03:53:00 -0500
,41.804722,-87.788611
DS-M30,2007-08-09 04:17:00 -0500,2007-08-09 04:31:00 -0500
,41.830278,-87.657778
DS-M15,2007-08-09 06:02:00 -0500,2007-08-09 06:15:00 -0500
,41.981944,-87.743333
DS-D11,2007-08-19 05:24:00 -0500,2007-08-19 06:55:00 -0500
,41.937222,-87.849167
DS-D11,2007-08-19 12:31:00 -0500,2007-08-19 14:09:00 -0500
,41.937222,-87.849167
DS-D11,2007-08-19 20:34:00 -0500,2007-08-19 22:03:00 -0500
,41.937222,-87.849167
DS-M15,2007-08-19 08:26:00 -0500,2007-08-19 08:30:00 -0500
,41.981944,-87.743333
DS-M15,2007-08-19 11:32:00 -0500,2007-08-19 11:36:00 -0500
,41.981944,-87.743333
DS-M15,2007-08-19 17:01:00 -0500,2007-08-19 17:04:00 -0500
,41.981944,-87.743333
DS-M15,2007-08-19 20:19:00 -0500,2007-08-19 23:59:00 -0500
,41.981944,-87.743333
DS-M20,2007-08-19 12:47:00 -0500,2007-08-19 12:50:00 -0500
,41.836667,-87.690278
DS-M30,2007-08-19 11:57:00 -0500,2007-08-19 12:01:00 -0500
,41.830278,-87.657778
DS-M30,2007-08-19 12:06:00 -0500,2007-08-19 12:09:00 -0500
,41.830278,-87.657778
DS-M73,2007-08-19 20:34:00 -0500,2007-08-19 20:50:00 -0500
,41.918333,-87.663611
DS-M76,2007-08-19 12:21:00 -0500,2007-08-19 12:25:00 -0500
,41.925556,-87.674444
DS-M76,2007-08-19 20:17:00 -0500,2007-08-19 21:20:00 -0500
,41.925556,-87.674444
DS-M80,2007-08-19 13:41:00 -0500,2007-08-19 13:51:00 -0500
,41.933889,-87.685278
DS-M80,2007-08-19 20:37:00 -0500,2007-08-19 23:59:00 -0500
,41.933889,-87.685278
DS-M80,2007-08-19 13:41:00 -0500,2007-08-19 13:52:00 -0500
,41.933889,-87.685278
DS-M80,2007-08-19 20:38:00 -0500,2007-08-19 23:59:00 -0500
,41.933889,-87.685278
DS-M84,2007-08-19 20:31:00 -0500,2007-08-19 23:59:00 -0500
,41.942778,-87.695556
DS-M84,2007-08-19 12:31:00 -0500,2007-08-19 12:38:00 -0500
,41.942778,-87.695556
DS-M84,2007-08-19 20:26:00 -0500,2007-08-19 23:59:00 -0500
,41.942778,-87.695556
DS-M84,2007-08-19 12:30:00 -0500,2007-08-19 12:37:00 -0500
,41.942778,-87.695556
DS-M84,2007-08-19 20:25:00 -0500,2007-08-19 23:59:00 -0500
,41.942778,-87.695556
DS-M84,2007-08-19 12:31:00 -0500,2007-08-19 12:38:00 -0500
,41.942778,-87.695556
DS-M84,2007-08-19 20:25:00 -0500,2007-08-19 23:59:00 -0500
,41.942778,-87.695556
DS-M86,2007-08-19 13:10:00 -0500,2007-08-19 13:25:00 -0500
,42.011944,-87.71
DS-M86,2007-08-19 20:30:00 -0500,2007-08-19 21:11:00 -0500
,42.011944,-87.71
DS-M86,2007-08-19 13:09:00 -0500,2007-08-19 13:25:00 -0500
,42.011944,-87.71
DS-M86,2007-08-19 20:30:00 -0500,2007-08-19 21:11:00 -0500
,42.011944,-87.71
DS-M88,2007-08-19 10:36:00 -0500,2007-08-19 10:51:00 -0500
,41.9575,-87.694722
DS-M88,2007-08-19 12:25:00 -0500,2007-08-19 12:31:00 -0500
,41.9575,-87.694722
DS-M88,2007-08-19 19:36:00 -0500,2007-08-19 19:44:00 -0500
,41.9575,-87.694722
DS-M88,2007-08-19 20:27:00 -0500,2007-08-19 23:59:00 -0500
,41.9575,-87.694722
DS-M97,2007-08-19 20:30:00 -0500,2007-08-19 21:20:00 -0500
,42.004444,-87.710333
DS-M97,2007-08-19 20:30:00 -0500,2007-08-19 21:20:00 -0500
,42.004444,-87.710333
DS-M97,2007-08-19 20:32:00 -0500,2007-08-19 21:21:00 -0500
,42.004444,-87.710333
DS-N02,2007-08-19 20:23:00 -0500,2007-08-19 20:28:00 -0500
,41.975278,-87.724167
DS-N02,2007-08-19 17:11:00 -0500,2007-08-19 17:16:00 -0500
,41.975278,-87.724167
DS-N02,2007-08-19 20:04:00 -0500,2007-08-19 23:59:00 -0500
,41.975278,-87.724167
