,nan,nan
DS-N11,2007-04-30 12:40:00 -0500,2007-04-30 12:45:00 -0500
,nan,nan
CDS-45,2007-05-26 16:57:00 -0500,2007-05-26 17:14:00 -0500
,nan,nan
DS-N11,2007-05-26 03:12:00 -0500,2007-05-26 04:08:00 -0500
,nan,nan
DS-D05,2007-05-26 03:11:00 -0500,2007-05-26 03:51:00 -0500
,nan,nan
WCPS,2007-06-13 22:00:00 -0500,2007-06-13 22:20:00 -0500
,nan,nan
NBPS,2007-06-26 15:34:00 -0500,2007-06-26 17:45:00 -0500
,nan,nan
DS-D18,2007-06-26 15:17:00 -0500,2007-06-26 15:42:00 -0500
,nan,nan
DS-N11,2007-06-26 15:01:00 -0500,2007-06-26 15:24:00 -0500
,nan,nan
NBPS,2007-06-26 19:05:00 -0500,2007-06-26 20:25:00 -0500
,nan,nan
DS-N18,2007-06-26 15:04:00 -0500,2007-06-26 15:15:00 -0500
,nan,nan
TG13A,2007-06-26 15:14:00 -0500,2007-06-26 15:43:00 -0500
,nan,nan
TGM71,2007-06-26 15:28:00 -0500,2007-06-26 16:08:00 -0500
,nan,nan
MS81,2007-06-26 13:18:00 -0500,2007-06-26 13:22:00 -0500
,nan,nan
MS81,2007-06-26 13:54:00 -0500,2007-06-26 14:32:00 -0500
,nan,nan
MS81,2007-06-26 15:15:00 -0500,2007-06-26 16:42:00 -0500
,nan,nan
NBPS,2007-06-27 17:24:00 -0500,2007-06-27 19:04:00 -0500
,nan,nan
DS-D18,2007-06-27 16:13:00 -0500,2007-06-27 16:49:00 -0500
,nan,nan
RAPS,2007-06-27 17:06:00 -0500,2007-06-27 17:58:00 -0500
,nan,nan
DS-D18,2007-07-04 00:52:00 -0500,2007-07-04 01:58:00 -0500
,nan,nan
DS-D35,2007-07-04 01:05:00 -0500,2007-07-04 02:16:00 -0500
,nan,nan
DS-D28,2007-07-04 00:57:00 -0500,2007-07-04 01:04:00 -0500
,nan,nan
DS-D39,2007-07-04 01:10:00 -0500,2007-07-04 01:57:00 -0500
,nan,nan
TG13A,2007-07-04 01:02:00 -0500,2007-07-04 02:07:00 -0500
,nan,nan
DS-N11,2007-07-04 01:13:00 -0500,2007-07-04 01:30:00 -0500
,nan,nan
RAPS,2007-07-04 04:10:00 -0500,2007-07-04 06:30:00 -0500
,nan,nan
DS-D18,2007-07-10 17:04:00 -0500,2007-07-10 17:35:00 -0500
,nan,nan
DS-D18,2007-07-10 17:04:00 -0500,2007-07-10 17:35:00 -0500
,nan,nan
TGM71,2007-07-10 17:22:00 -0500,2007-07-10 17:45:00 -0500
,nan,nan
CDS-45,2007-07-18 21:58:00 -0500,2007-07-18 22:24:00 -0500
,nan,nan
C-1,2007-07-18 21:54:00 -0500,2007-07-18 22:24:00 -0500
,nan,nan
NBPS,2007-07-18 22:31:00 -0500,2007-07-18 23:59:00 -0500
,nan,nan
DS-D05,2007-07-18 20:39:00 -0500,2007-07-18 21:10:00 -0500
,nan,nan
DS-D08,2007-07-18 20:40:00 -0500,2007-07-18 23:33:00 -0500
,nan,nan
DS-D18,2007-07-18 20:39:00 -0500,2007-07-18 21:45:00 -0500
,nan,nan
DS-D21,2007-07-18 20:52:00 -0500,2007-07-18 20:55:00 -0500
,nan,nan
DS-D39,2007-07-18 21:05:00 -0500,2007-07-18 22:45:00 -0500
,nan,nan
DS-M10,2007-07-18 22:47:00 -0500,2007-07-18 23:59:00 -0500
,nan,nan
DS-M11,2007-07-18 23:26:00 -0500,2007-07-18 23:59:00 -0500
,nan,nan
TG13A,2007-07-18 20:40:00 -0500,2007-07-18 20:46:00 -0500
,nan,nan
TGM71,2007-07-18 20:51:00 -0500,2007-07-18 21:42:00 -0500
,nan,nan
DSN6,2007-07-18 19:44:00 -0500,2007-07-18 20:48:00 -0500
,nan,nan
DS-N12,2007-07-18 22:52:00 -0500,2007-07-18 23:59:00 -0500
,nan,nan
