location,segment,date,starttime,endtime,duration
DS-M49,6,2016-05-25,07:11,07:39,28
DS-M51,6,2016-05-25,07:11,07:34,23
DS-M47,6,2016-05-25,07:11,07:42,31
DS-M30,7,2016-05-25,07:13,07:20,6
DS-M105W,1,2016-05-25,07:13,07:41,28
DS-M10,9,2016-05-25,07:13,07:41,27
DS-M10,9,2016-05-25,07:14,07:51,36
DS-M21,8,2016-05-25,07:15,07:39,24
DS-M21,8,2016-05-25,07:15,07:39,24
DS-M83,3,2016-05-25,07:18,07:49,30
DS-M40,6,2016-05-25,07:19,07:54,34
DS-M40,6,2016-05-25,07:20,07:53,32
DS-M109N,1,2016-05-25,07:24,07:38,14
DS-M106E,1,2016-05-25,07:28,07:39,10
DS-M19,8,2016-05-25,07:30,07:39,9
DS-D16,14,2016-05-25,08:22,10:03,100
DS-M114N,31,2016-05-25,08:24,09:23,58
DS-M83,3,2016-05-25,08:43,08:59,15
DS-M09,9,2016-05-25,08:48,09:55,67
"DS-D47,50,51 & DS-13A-1",16,2016-05-25,08:57,09:43,45
DS-M83,3,2016-05-25,09:04,09:42,37
DS-N02,4,2016-05-25,09:22,09:49,27
DS-M70,3,2016-05-25,09:24,10:04,39
DS-M97,2,2016-05-25,09:24,09:25,1
DS-N05,4,2016-05-25,09:24,09:55,30
DS-M104W,1,2016-05-25,09:25,09:48,23
DS-M84,3,2016-05-25,09:25,11:01,96
DS-M73,3,2016-05-25,09:25,09:49,23
DS-N08,4,2016-05-25,09:26,09:52,26
DS-M15,8,2016-05-25,09:26,01:37,250
DS-M84,3,2016-05-25,09:26,10:02,35
DS-M66,3,2016-05-25,09:27,12:16,169
DS-M66,3,2016-05-25,09:27,12:17,170
DS-M97,2,2016-05-25,09:28,09:56,27
DS-M97,2,2016-05-25,09:28,09:56,27
DS-M10,9,2016-05-25,09:37,09:58,20
DS-M61A,3,2016-05-25,09:39,09:40,1
DS-M61A,3,2016-05-25,09:41,10:05,24
"DS-D47,50,51 & DS-13A-1",16,2016-05-25,09:44,09:47,2
DS-M10,9,2016-05-25,09:51,09:53,1
DS-M09,9,2016-05-25,09:55,09:59,3
DS-M10,9,2016-05-25,09:59,10:01,2
DS-M10,9,2016-05-25,10:02,10:06,4
DS-M84,3,2016-05-25,10:03,10:07,3
DS-M61A,3,2016-05-25,10:06,10:07,1
DS-M84,3,2016-05-25,10:07,10:08,1
DS-M61A,3,2016-05-25,10:08,10:09,1
DS-M10,9,2016-05-25,10:09,10:10,1
DS-M84,3,2016-05-25,10:09,10:10,1
DS-M61A,3,2016-05-25,10:12,10:13,1
DS-M84,3,2016-05-25,10:21,10:23,1
DS-M84,3,2016-05-25,10:27,10:29,2
DS-M84,3,2016-05-25,10:30,10:56,25
DS-M10,9,2016-05-25,10:31,12:19,107
DS-M10,9,2016-05-25,10:31,12:25,113
DS-M09,9,2016-05-25,10:33,10:47,14
DS-M09,9,2016-05-25,10:56,11:00,4
DS-M03,9,2016-05-25,10:57,11:03,6
DS-M84,3,2016-05-25,10:58,11:00,2
