Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-D48,40th St. ext. (40th St. & Haas) (E),TG1,DesPlaines Lower,Stickney,10/1/2016 9:17:17 AM,10/1/2016 9:44:41 AM,:00:27:24
DS-D48,40th St. ext. (40th St. & Haas) (E),TG1,DesPlaines Lower,Stickney,8/30/2016 7:28:17 AM,8/30/2016 11:21:29 AM,:03:53:12
DS-D48,40th St. ext. (40th St. & Haas) (E),TG1,DesPlaines Lower,Stickney,8/29/2016 3:22:45 PM,8/29/2016 5:42:49 PM,:02:20:04
DS-D49,Ogden Ave (SW wing wall of the bridge) (W),TG1,DesPlaines Lower,Stickney,10/1/2016 2:20:13 PM,10/2/2016 12:28:17 AM,:10:08:04
DS-D49,Ogden Ave (SW wing wall of the bridge) (W),TG1,DesPlaines Lower,Stickney,8/15/2016 7:57:25 AM,8/15/2016 8:33:57 AM,:00:36:32
DS-D62,"Jackson Ave (Brookfield Zoo, across from Wolf Den) (E)",TG1,Salt Cr,Stickney,8/30/2016 7:35:05 AM,8/30/2016 8:08:09 AM,:00:33:04
DS-D66,Extended Forest Ave. (SE corner of Forest Ave & 1st Ave) (W),TG1,DesPlaines Lower,Stickney,8/30/2016 7:31:49 AM,8/30/2016 7:33:01 AM,:00:01:12
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,8/20/2016 12:34:33 PM,8/20/2016 12:37:45 PM,:00:03:12
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,8/20/2016 10:55:01 AM,8/20/2016 12:33:37 PM,:01:38:36
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,8/20/2016 10:52:37 AM,8/20/2016 10:54:11 AM,:00:01:34
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,8/12/2016 9:15:57 PM,8/13/2016 2:18:01 AM,:05:02:04
DS-M08,Natchez Ave ext. (S),TG1,CSSC Lower (SWRP),Stickney,8/12/2016 11:27:49 PM,8/13/2016 1:22:33 AM,:01:54:44
DS-M08,Natchez Ave ext. (S),TG1,CSSC Lower (SWRP),Stickney,8/12/2016 10:35:01 PM,8/12/2016 10:37:01 PM,:00:02:00
