,ag_sol(mg/l),ag_tot(mg/l),alk(mg/l),as_sol(mg/l),as_tot(mg/l),b_sol(mg/l),b_tot(mg/l),ba_sol(mg/l),ba_tot(mg/l),benzene(ug/l),ca_sol(mg/l),ca_tot(mg/l),cd_sol(mg/l),cd_tot(mg/l),chloroph(yll_a),cl(mg/l),cn(mg/l),cn_wad(mg/l),collect(date),cr6(ug/l),cr_sol(mg/l),cr_tot(mg/l),cu_sol(mg/l),cu_tot(mg/l),do(mg/l),e_coli(cts/100ml),ethylbenzene(ug/l),f(mg/l),fe_sol(mg/l),fe_tot(mg/l),fec_col(cts/100ml),fog(mg/l),hg_ll(ng/l),hg_sol(ug/l),hg_tot(ug/l),m__and/or_p_xylenes(ug/l),mg_sol(mg/l),mg_tot(mg/l),mn_sol(mg/l),mn_tot(mg/l),nh3_n(mg/l),ni_sol(mg/l),ni_tot(mg/l),no2+no3(mg/l),o_xylene(ug/l),pb_sol(mg/l),pb_tot(mg/l),ph(),phenol(ug/l),radiochem(alpha),radiochem(beta),sampling(point),se_sol(mg/l),se_tot(mg/l),so4(mg/l),ss(mg/l),tds(mg/l),temp(deg_c),tkn(mg/l),toc(mg/l),toluene(ug/l),tot_p(mg/l),turb(ntu),vss(mg/l),xylenes(total)(ug/l),xylenes_(total)(ug/l),zn_sol(mg/l),zn_tot(mg/l),location_description,north_latitude,west_longitude
20,0.0,0.0,163.0,0.0,0.0,0.086,0.085,0.0379,0.0494,<2,58.08,58.18,0.0,0.0,15.9,269.2,0.0,0.0009,2007-06-04 00:00:00,0.0,0.0014,0.0035,0.0,0.005,5.4,,<2,0.36,0.044000000000000004,2.79,90000.0,,6.42,,0.0,<2,26.401999999999997,26.44,0.0755,0.3495,0.32,0.0004,0.003,0.21899999999999997,<3,0.0,0.013000000000000001,7.6,0.0,<6.02,12.54,ww_12,0.0,0.0,68.14,143.0,738.0,20.6,2.12,7.0,<2,0.31,78.4,20.0,,<2,0.008,0.036000000000000004,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
21,0.0,0.0,122.0,0.0,0.0,0.112,0.092,0.0347,0.0473,<2,44.7,47.12,0.0007,0.0,31.8,249.5,0.0,0.0004,2007-08-06 00:00:00,0.0,0.0005,0.0025,0.0,0.005,6.2,,<2,0.29,0.024,2.53,680.0,,1.06,,0.0,<2,19.846,20.58,0.0142,0.1518,0.09,0.0023,0.004,0.155,<3,0.0,0.005,7.45,0.0,<6.44,8.18,ww_12,0.0,0.0,40.47,66.0,578.0,23.9,1.56,5.5,<2,0.2,32.6,12.0,,<2,0.005,0.036000000000000004,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
22,0.0,0.0,201.0,0.0,0.0,0.106,0.09,0.0373,0.0408,,57.95,59.86,0.0,0.002,23.9,128.7,0.0,0.0007,2007-09-04 00:00:00,3.0,0.0,0.0012,0.0,0.0,5.3,,,0.26,0.043,0.95,7200.0,,0.0,,0.06,,25.842,26.13,0.0439,0.1642,0.09,0.0,0.002,0.10800000000000001,,0.0,0.006999999999999999,8.0,0.0,<6.38,10.52,ww_12,0.0,0.0,60.26,29.0,592.0,24.1,1.38,9.1,,0.18,20.4,14.0,,,0.0049,0.017,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
23,0.0,0.0,124.0,0.0,0.0,0.086,0.091,0.0316,0.036000000000000004,<2,39.9,41.74,0.0,0.0,15.6,116.9,0.0,0.0008,2007-10-01 00:00:00,0.0,0.0009,0.0014,0.0,0.003,6.1,3700.0,<2,0.24,0.054000000000000006,0.77,7300.0,,1.43,,0.0,<2,17.284000000000002,17.72,0.045,0.0998,0.02,0.0,0.0,0.258,<3,0.0,0.005,7.3,0.0,<4.75,6.96,ww_12,0.0,0.0,56.63,25.0,392.0,18.3,0.85,6.6,<2,0.13,23.6,5.0,,<2,0.0132,0.013000000000000001,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
24,0.0,0.0,186.0,0.0,0.0,0.08800000000000001,0.10099999999999999,0.0377,0.0389,<2,68.29,76.9,0.0,0.0,30.0,240.8,0.0,0.0005,2007-12-03 00:00:00,0.0,0.0012,0.0023,0.0,0.002,11.9,,<2,0.18,0.027000000000000003,0.87,340.0,,0.0,,0.0,<2,30.948,32.54,0.0239,0.0858,0.14,0.0,0.0,0.267,<3,0.0045,0.005,8.18,0.0,<4.87,<5.10,ww_12,0.0,0.0,85.3,26.0,738.0,0.07,1.17,6.3,<2,0.11,18.1,4.0,,<2,0.0039,0.019,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
25,0.0,0.0,209.0,0.0,0.0,0.08900000000000001,0.10099999999999999,0.0517,0.0568,,97.96,96.05,0.0,0.0,3.9,650.7,0.0,0.0,2008-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0,11.2,300.0,,0.23,0.055999999999999994,0.76,370.0,,0.0,,0.0,,41.705,40.21,0.1036,0.1286,0.13,0.0,0.0,0.7929999999999999,,0.0,0.0,7.6,0.0,<4.20,5.0,ww_12,0.0,0.0,112.46,19.0,1492.0,5.1,1.01,3.3,,0.0,14.6,4.0,,,0.0,0.026000000000000002,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
26,0.0,0.0,249.0,0.0,0.0,0.10099999999999999,0.10400000000000001,0.0658,0.063,<2,126.94,119.14,0.0,0.0,25.7,867.9,0.0,0.0,2008-02-04 00:00:00,0.0,0.0,0.0,0.0,0.0,9.5,,<2,0.0,0.052000000000000005,0.57,200.0,,0.0,,0.0,<3,55.461999999999996,50.44,0.1209,0.131,0.1,0.0,0.0,0.542,<3,0.0,0.0,na,0.0,<3.10,2.9,ww_12,0.0,0.0,148.75,20.0,1774.0,na,1.11,3.4,<2,0.0,16.4,5.0,,<3,0.0,0.0,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
27,0.0,0.0,123.0,0.0,0.0,0.049,0.054000000000000006,0.0341,0.0417,,57.07,58.19,0.0,0.0,6.3,549.0,0.0,0.0,2008-03-03 00:00:00,0.0,0.0,0.0039,0.0,0.0,12.0,,,0.0,0.067,2.02,420.0,,3.47,,0.0,,22.53,22.96,0.076,0.11900000000000001,0.23,0.0,0.0,0.782,,0.0,0.0,7.04,0.0,<2.30,3.1,ww_12,0.0,0.0,63.67,62.0,1092.0,2.7,1.14,3.1,,0.0,50.5,13.0,,,0.0138,0.035,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
28,0.0,0.0,206.0,0.0,0.0,0.078,0.083,0.0412,0.0488,<2,78.46,86.63,0.0,0.0,13.8,333.0,0.0,0.0,2008-04-07 00:00:00,0.0,0.0,0.0,0.0,0.0,8.8,<10,<2,0.0,0.037000000000000005,0.67,20.0,,0.0,,0.0,<3,34.431999999999995,36.5,0.0694,0.1109,0.0,0.0,0.0,0.41700000000000004,<3,0.0,0.0,8.2,0.0,3.1,4.9,ww_12,0.0,0.0,97.5,17.0,716.0,9.3,0.82,4.1,<2,0.0,13.3,4.0,,<3,0.0,0.0,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
29,0.0,0.0,221.0,0.0,0.0,0.09300000000000001,0.07400000000000001,0.0413,0.045,,75.49,80.22,0.0,0.0,46.3,288.0,0.0,0.0,2008-05-05 00:00:00,0.0,0.0,0.0,0.0,0.0,11.3,,,0.2,0.03,0.64,40.0,,1.97,,0.0,,35.049,35.19,0.0495,0.1417,0.0,0.0,0.0,0.0,,0.0,0.0,8.48,0.0,<2.10,2.0,ww_12,0.0,0.0,92.7,20.0,870.0,15.4,1.75,5.4,,0.0,15.4,5.0,,,0.0,0.0,buffalo_creek_@_lake_cook_rd.,42.151833333333336,87.96916666666668
