Name,Count,Percent
DS-M109 N,94,0.00867558837102
DS-M109S,47,0.00433779418551
DS-M11,154,0.014213197969543
DS-M13,110,0.010152284263959
DS-M15,177,0.016335948315644
DS-M19,68,0.006275957544993
DS-M20,103,0.009506229810798
DS-M21,39,0.00359944623904
DS-M25,113,0.010429164743886
DS-M26,40,0.003691739732349
DS-M30,140,0.012921089063221
DS-M35,14,0.001292108906322
DS-M38,69,0.006368251038302
DS-M40,92,0.008491001384402
DS-M41,32,0.002953391785879
DS-M45,51,0.004706968158745
DS-M47,22,0.002030456852792
DS-M49,63,0.005814490078449
DS-M51,33,0.003045685279188
DS-M54,50,0.004614674665436
DS-M60,1,0.000092293493309
DS-M61A,82,0.007568066451315
DS-M64,28,0.002584217812644
DS-M66,58,0.005353022611906
DS-M70,58,0.005353022611906
DS-M73,98,0.009044762344255
DS-M75,103,0.009506229810798
DS-M76,46,0.004245500692201
DS-M79,114,0.010521458237194
DS-M80,139,0.012828795569912
DS-M82,149,0.013751730503
DS-M83,21,0.001938163359483
DS-M84,175,0.016151361329026
DS-M85,71,0.006552838024919
DS-M86,53,0.004891555145362
DS-M88,172,0.0158744808491
DS-M97,78,0.00719889247808
DS-N02,224,0.020673742501154
DS-N03,84,0.007752653437933
DS-N04,38,0.003507152745731
DS-N05,186,0.017166589755422
DS-N06,31,0.00286109829257
DS-N07,30,0.002768804799262
DS-N08,264,0.024365482233502
DS-N09,35,0.003230272265805
DS-N10A,91,0.008398707891094
DS-N10B,190,0.017535763728657
DS-N11,34,0.003137978772497
DS-N12,122,0.011259806183664
DS-N13R,150,0.013844023996308
DS-N16,51,0.004706968158745
DS-N17,117,0.01079833871712
DS-N18,123,0.011352099676973
DS-N19,72,0.006645131518228
DSM106,44,0.004060913705584
DSM107,6,0.000553760959852
DSM109,50,0.004614674665436
DSM114N,57,0.005260729118597
DSM90,44,0.004060913705584
DSN6,17,0.001568989386248
Indirect (TG-M53),1,0.000092293493309
Indirect (UDP-DS5) (K27),11,0.001015228426396
K1/UDP1,4,0.000369173973235
K11/UDP3,3,0.000276880479926
K14/UDP3,3,0.000276880479926
K1A/UDP1A,12,0.001107521919705
K2/UDP1,4,0.000369173973235
K22,6,0.000553760959852
K25/UDP5,2,0.000184586986617
K26/UDP8,3,0.000276880479926
K27/UDP8,11,0.001015228426396
K3/UDP2,3,0.000276880479926
MS104,1,0.000092293493309
MS105W,2,0.000184586986617
MS109N,1,0.000092293493309
MS15,1,0.000092293493309
MS16,14,0.001292108906322
MS3,1,0.000092293493309
MS81,24,0.002215043839409
MS84,1,0.000092293493309
MS88,1,0.000092293493309
MWRD DS-M114N,89,0.008214120904476
NB10A,1,0.000092293493309
NB10B,2,0.000184586986617
