collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_tot(qual_code),ba_sol(mg/l),b_tot(mg/l),b_tot(qual_code),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cr6(qual_code),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_tot(qual_code),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_tot(qual_code),se_sol(mg/l),ag_tot(mg/l),ag_tot(qual_code),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2012-12-17 00:00:00,940.0,ww_75,8.2,8.2,6.36,9.455,1.11,2.17,1.65,45.06,448.0,10.0,<4,,117.0,102.0,0.84,4.8,<5,<0.005,<0.001,<5,<1.60,4.3,50.0,2.2,,<0.02,0.0168,,,0.149,,,,<0.001,46.1,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,16.3,,0.0251,,,<0.2,,,0.0052,<0.005,,,<0.001,,<0.001,,0.027,,,,,,,
2012-12-17 00:00:00,1005.0,ww_41,8.9,11.0,6.84,11.374,0.31,1.62,2.06,68.01,512.0,5.0,<4,,105.0,107.0,0.79,5.2,<5,<0.005,<0.001,<5,<1.70,4.5,4000.0,1.3,,<0.02,0.0129,,,0.185,,,,<0.001,46.9,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,16.5,,0.0195,,,<0.2,,,0.0116,<0.005,,,<0.001,,0.001,,0.025,,,,,,,
2012-12-17 00:00:00,1015.0,ww_92,7.9,14.0,7.2,10.958,0.3,<1,1.64,101.56,588.0,7.0,<4,,122.0,123.0,0.81,5.0,<5,0.005,0.0014,<5,<2.00,5.8,290.0,1.7,,<0.02,0.0148,,,0.222,,,,<0.001,54.4,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,19.2,,0.0392,,,<0.2,,,0.0063,0.0069,,,<0.001,,0.0011,,0.029,,,,,,,
2012-12-17 00:00:00,1150.0,ww_48,8.3,9.1,6.41,10.996,0.45,1.58,1.63,100.42,600.0,7.0,<4,,128.0,127.0,0.9,5.3,<5,0.005,0.0021,<5,,,1000.0,1.4,,<0.02,0.0156,,,0.258,,,,<0.001,55.6,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,19.6,,0.0404,,,<0.2,,,0.008,0.0075,,,<0.001,,0.0011,,0.025,,,,,,,
2012-12-31 00:00:00,935.0,ww_92,8.5,10.3,6.4,7.23,0.38,1.28,0.86,74.06,464.0,5.0,<4,,114.0,115.0,0.61,3.8,<5,<0.005,0.0014,<5,,,,1.3,,,,,,,,,,,,,,,<6,d,,,,,,,,,,,,<0.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reporting_limit,,,,,,0.15,0.1,1.0,0.1,5.0,60.0,4.0,,1.0,10.0,10.0,0.1,1.0,5.0,0.005,0.001,5.0,,,10.0,,,0.02,0.004,,,0.05,,,,0.001,1.0,,,0.005,6.0,,,0.005,,0.1,,0.02,1.0,,0.001,,,0.2,,,0.005,0.005,,,0.001,,0.001,,0.01,0.5*,2.0,2.0,2.0,3.0,3.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*_ll_hg:_based_on_the_sample_matrix_some_samples_need_to_be_diluted_x2,_x5_and_x10.__the_reporting_limit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x=matrix_spike_recovery_failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
