collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),alk(qual_code),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),toc(qual_code),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),chloroph(yll_a),chloroph(qual_code),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2012-06-04 00:00:00,1325.0,ww_92,4.3,22.6,7.17,7.445,1.51,2.47,1.91,94.83,586.0,6.0,<4,,142.0,,150.0,,0.67,6.5,,<5,<0.005,0.0011,<5,,,150.0,2.0,,,<0.02,0.016,,0.25,,,<0.001,58.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,21.0,,0.044,,<0.2,,,0.007,0.008,,0.001,0.001,,0.02,,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,950.0,ww_32,4.9,21.2,7.66,0.914,0.2,<1,0.27,52.56,808.0,5.0,<4,,205.0,,285.0,,0.42,5.4,,<5,<0.005,<0.001,,<2.20,2.6,510.0,11.0,,,<0.02,0.041,,0.12,,,<0.001,72.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,36.0,,0.135,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,1010.0,ww_105,4.8,24.3,7.55,12.004,0.15,<1,1.87,57.24,622.0,19.0,4.0,,150.0,,180.0,,0.8,4.4,,<5,<0.005,0.001,,<2.00,4.0,230.0,2.2,,,<0.02,0.029,,0.16,,,<0.001,60.0,,,<0.005,<6,,0.005,,<0.1,,<0.02,27.0,,0.036,,<0.2,,,<0.005,0.006,,0.001,0.001,,0.02,<5.0,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,1030.0,ww_104,4.5,28.8,7.72,10.998,0.18,<1,1.77,57.93,650.0,6.0,<4,,153.0,,213.0,,0.72,4.9,,<5,<0.005,0.0011,,<2.20,4.7,150.0,1.1,,,<0.02,0.03,,0.16,,,<0.001,60.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,28.0,,0.059,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.02,<5.0,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,855.0,ww_103,5.9,23.1,7.4,0.999,0.16,1.1,0.7,60.81,940.0,11.0,<4,,200.0,,380.0,,0.52,5.0,,<5,<0.005,0.001,,<2.40,3.4,100.0,9.1,,,<0.02,0.056,,0.15,,,<0.001,78.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,34.0,,0.077,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,920.0,ww_34,4.2,23.7,7.57,6.769,0.22,<1,1.03,58.64,784.0,7.0,<4,,174.0,,267.0,,0.65,4.6,,<5,<0.005,<0.001,,<1.80,2.3,30.0,1.2,,,<0.02,0.037,,0.14,,,<0.001,65.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,30.0,,0.046,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,1020.0,ww_37,7.1,24.1,7.39,7.291,0.81,1.6,1.06,42.77,438.0,9.0,<4,,129.0,,109.0,,0.7,4.3,,<5,<0.005,0.0014,<5,,,7000.0,1.7,,,<0.02,0.023,,0.13,,,<0.001,51.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,19.0,,0.023,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,1045.0,ww_73,6.9,23.1,7.46,6.079,0.86,1.48,1.2,43.31,424.0,8.0,<4,,134.0,,107.0,,0.7,4.6,,<5,<0.005,0.0014,<5,,,3800.0,6.8,,,<0.02,0.022,,0.14,,,<0.001,51.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,19.0,,0.028,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.02,,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,1110.0,ww_46,5.8,28.2,7.32,6.556,1.5,2.01,1.22,43.76,454.0,9.0,<4,,135.0,,115.0,,0.69,4.6,,<5,<0.005,0.0016,<5,,,990.0,11.3,,,<0.02,0.023,,0.13,,,<0.001,52.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,19.0,,0.03,,<0.2,,,0.005,0.008,,0.001,0.001,,0.02,,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,1050.0,ww_35,8.6,20.4,8.25,0.259,<0.1,<1,<0.1,23.63,180.0,11.0,<4,,107.0,,14.0,,0.1,1.8,,<5,<0.005,<0.001,,<1.30,1.6,160.0,0.7,,,<0.02,0.021,,<0.05,,,<0.001,35.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,12.0,,0.012,,<0.2,,,<0.005,<0.005,,0.001,0.001,,<0.01,<5.0,<2,<2,<2,<3,<3,<3
